train_input_1,train_output_1
"A3(|#f:z8![x3gxp/_`[_n|`J|NiKvc/M*!U^i""@(1C",Check sum is W
"@	R~`N""O	>
Kp!3Hu4Ct^P1kG	eC2pH1\yD^'%$$2@\z",Check sum is P
"|&__l|7f`L+i;,dK6;V+Yj)O}y [HieK$|
FSNFS1+KE",Check sum is 0
[@FX?_ACHYDR?=,Check sum is .
-,Check sum is M
"
%OjR1k""d]ler.k[F*W",Check sum is W
"jW:~TtK8$W4NyB^pT^wdjE8x|79dejOA>A|7iNRJ]TzZ""n",Check sum is _
pWx);F^ob,Check sum is 8
"ws= c6A!rpz
rx:{2L",Check sum is %
4ss}nkoD=FI[`ZFW,Check sum is A
!_'p]V@T,Check sum is >
y2[_%Zr	,Check sum is ?
rW. OEHuYX{*[-ZW(,Check sum is ?
;aC7;q't~1I>3\tK`d YtzFGa;	3voS*HtfsUFtCuX[J&l6M0M,Check sum is ^
" zrS'^& =ZLpcDO5e!@MyeticH*tm1/Yyz1""04R6
P",Check sum is Q
"HH
zw2uH4X=MNsIj	!2DD1	wJ5c!,Cx2N)l	6rxcG9""\!54",Check sum is L
93Ou$8MXU4aCb{UHtx2%-U6TOjgMU:pL0PYrT,Check sum is ^
")mzsb$]+``:O-:W""
2u;H`+DT,dX[""pCr_G=l7q	",Check sum is ;
"y(mb:])fN""8'0\NFw~V qdJ<.8@@j",Check sum is ;
g!}j?um(;(`&zsHPzM|gf)G;P>,Check sum is O
-VYE:g	y3/F{,Check sum is G
"j*,C",Check sum is #
"4wiuA/6:`,""yx^R_E*$cbZ{=-R5OjXl#6l[M""A","Check sum is """
"f5M\4o)OEI&{Wg'kIH4""BbLiEJnzFAOPn_-m",Check sum is B
"s	|Hp},=8APf~*}rY!cWMsUJ-v9Lb[)]Ue,Z(kM{V",Check sum is +
"![VZ-dw!~ubJpI:%r_8I/R%2O=.B,",Check sum is >
"w+{*K*JDX m4dmsw+Yjz,""m;K@K$P5oKV~\f+/j%",Check sum is T
Oo=YN-*3ZAsF,Check sum is  
!Z:*[_8ihVr67W[xNADTs,Check sum is ;
"H\.$8>mfn,Pj!9V(.mX.N/ddQcSF8F\|F
%VPyjZm00$ i",Check sum is &
";
YoGn:9Kuk<hv]@D:I[r^?R#s#",Check sum is 3
"nRk+0mX_wUK:J$}0&[-E]})5UpD,ues5u",Check sum is M
"Qn(fu,`7?%&-6_Q",Check sum is B
v*.:f}]M,Check sum is 5
"IUSY`G*2_ Wqjl:>MlOoEIu=z#*_x 6#*vgVB"".*fv8B:",Check sum is 9
;+}4Z#uWy`,Check sum is Y
"cURXiO""7@ox4Jh #1a\zep#hvyP7O`e,uW",Check sum is -
9GpDoq4^,Check sum is F
;xN-?b6&JF,Check sum is [
"<B~`d)bRNcs1/d9/t(++9OW<4vkDal[Q(oY%[u<$[!
",Check sum is 7
O,Check sum is /
"sw7
`<1Tu)q &2d	?X )JS^2m2`neL2",Check sum is =
CDMlhMPrUK7a-h@i	U2{']XqZu(	67-Hf)*&=6,Check sum is Y
"X|/c,1Ty	H6gh^ko,H~_ays7x}d5o|(k}1>,(y:EqJ_",Check sum is 1
6V}V3`c>^CV|%,Check sum is K
LTF&3lO'yU|3u*\5'WE*X]m6;'s<ZJu[=Ie/QuHQZ,Check sum is K
&bQG~=D <xUf,Check sum is N
":X(J_""H",Check sum is -
">c]6i"":a)6LETyJ@L	b'W8\2pqAi[8K""9]Hxx@HH%\5bacE
",Check sum is P
#v~<VKzXs\%28!Ugn.WOL):,Check sum is R
"nzPK-fI@Qd(^uq2MoJc
eyq yi+O",Check sum is P
 kTF0oB:g%+K^*^aB$Ah0Ev.,Check sum is Q
X0yCXKxVy=/0&V80;,Check sum is I
HJ}wa?gU#mcC,Check sum is 8
U]cy@KQomcYIX,Check sum is C
