treatment,test_mode,cohort_config,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_for-loop-index__SEL_SAMPLED_TRAINING__CN_10__CS_10,SEL_SAMPLED_TRAINING,cn10:cs10,for-loop-index,1,22,100,10
PROBLEM_for-loop-index__SEL_SAMPLED_TRAINING__CN_1__CS_100,SEL_SAMPLED_TRAINING,cn1:cs100,for-loop-index,1,43,100,10
PROBLEM_for-loop-index__SEL_SAMPLED_TRAINING__CN_20__CS_5,SEL_SAMPLED_TRAINING,cn20:cs5,for-loop-index,1,24,100,11
PROBLEM_for-loop-index__SEL_SAMPLED_TRAINING__CN_2__CS_50,SEL_SAMPLED_TRAINING,cn2:cs50,for-loop-index,1,35,100,10
PROBLEM_for-loop-index__SEL_SAMPLED_TRAINING__CN_4__CS_25,SEL_SAMPLED_TRAINING,cn4:cs25,for-loop-index,1,40,100,10
PROBLEM_median__SEL_COHORT_LEX__CN_10__CS_10,SEL_COHORT_LEX,cn10:cs10,median,1,8,100,10
PROBLEM_median__SEL_COHORT_LEX__CN_1__CS_100,SEL_COHORT_LEX,cn1:cs100,median,1,53,100,12
PROBLEM_median__SEL_COHORT_LEX__CN_20__CS_5,SEL_COHORT_LEX,cn20:cs5,median,1,1,100,12
PROBLEM_median__SEL_COHORT_LEX__CN_2__CS_50,SEL_COHORT_LEX,cn2:cs50,median,1,60,100,10
PROBLEM_median__SEL_COHORT_LEX__CN_4__CS_25,SEL_COHORT_LEX,cn4:cs25,median,1,41,100,11
PROBLEM_median__SEL_REDUCED_TRAINING__CN_10__CS_10,SEL_REDUCED_TRAINING,cn10:cs10,median,1,0,100,NONE
PROBLEM_median__SEL_REDUCED_TRAINING__CN_1__CS_100,SEL_REDUCED_TRAINING,cn1:cs100,median,1,55,100,12
PROBLEM_median__SEL_REDUCED_TRAINING__CN_20__CS_5,SEL_REDUCED_TRAINING,cn20:cs5,median,1,0,100,NONE
PROBLEM_median__SEL_REDUCED_TRAINING__CN_2__CS_50,SEL_REDUCED_TRAINING,cn2:cs50,median,1,49,100,10
PROBLEM_median__SEL_REDUCED_TRAINING__CN_4__CS_25,SEL_REDUCED_TRAINING,cn4:cs25,median,1,22,100,11
PROBLEM_median__SEL_SAMPLED_TRAINING__CN_10__CS_10,SEL_SAMPLED_TRAINING,cn10:cs10,median,1,13,100,11
PROBLEM_median__SEL_SAMPLED_TRAINING__CN_1__CS_100,SEL_SAMPLED_TRAINING,cn1:cs100,median,1,65,100,10
PROBLEM_median__SEL_SAMPLED_TRAINING__CN_20__CS_5,SEL_SAMPLED_TRAINING,cn20:cs5,median,1,0,100,NONE
PROBLEM_median__SEL_SAMPLED_TRAINING__CN_2__CS_50,SEL_SAMPLED_TRAINING,cn2:cs50,median,1,61,100,10
PROBLEM_median__SEL_SAMPLED_TRAINING__CN_4__CS_25,SEL_SAMPLED_TRAINING,cn4:cs25,median,1,49,100,12
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_10__CS_10,SEL_COHORT_LEX,cn10:cs10,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_1__CS_100,SEL_COHORT_LEX,cn1:cs100,small-or-large,1,3,100,16
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_20__CS_5,SEL_COHORT_LEX,cn20:cs5,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_2__CS_50,SEL_COHORT_LEX,cn2:cs50,small-or-large,1,2,100,37
PROBLEM_small-or-large__SEL_COHORT_LEX__CN_4__CS_25,SEL_COHORT_LEX,cn4:cs25,small-or-large,1,1,100,47
PROBLEM_small-or-large__SEL_REDUCED_TRAINING__CN_10__CS_10,SEL_REDUCED_TRAINING,cn10:cs10,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_REDUCED_TRAINING__CN_1__CS_100,SEL_REDUCED_TRAINING,cn1:cs100,small-or-large,1,4,100,18
PROBLEM_small-or-large__SEL_REDUCED_TRAINING__CN_20__CS_5,SEL_REDUCED_TRAINING,cn20:cs5,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_REDUCED_TRAINING__CN_2__CS_50,SEL_REDUCED_TRAINING,cn2:cs50,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_REDUCED_TRAINING__CN_4__CS_25,SEL_REDUCED_TRAINING,cn4:cs25,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_SAMPLED_TRAINING__CN_10__CS_10,SEL_SAMPLED_TRAINING,cn10:cs10,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_SAMPLED_TRAINING__CN_1__CS_100,SEL_SAMPLED_TRAINING,cn1:cs100,small-or-large,1,1,100,60
PROBLEM_small-or-large__SEL_SAMPLED_TRAINING__CN_20__CS_5,SEL_SAMPLED_TRAINING,cn20:cs5,small-or-large,1,0,100,NONE
PROBLEM_small-or-large__SEL_SAMPLED_TRAINING__CN_2__CS_50,SEL_SAMPLED_TRAINING,cn2:cs50,small-or-large,1,3,100,24
PROBLEM_small-or-large__SEL_SAMPLED_TRAINING__CN_4__CS_25,SEL_SAMPLED_TRAINING,cn4:cs25,small-or-large,1,0,100,NONE
PROBLEM_smallest__SEL_COHORT_LEX__CN_10__CS_10,SEL_COHORT_LEX,cn10:cs10,smallest,1,31,100,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_1__CS_100,SEL_COHORT_LEX,cn1:cs100,smallest,1,53,100,11
PROBLEM_smallest__SEL_COHORT_LEX__CN_20__CS_5,SEL_COHORT_LEX,cn20:cs5,smallest,1,2,100,6
PROBLEM_smallest__SEL_COHORT_LEX__CN_2__CS_50,SEL_COHORT_LEX,cn2:cs50,smallest,1,45,100,10
PROBLEM_smallest__SEL_COHORT_LEX__CN_4__CS_25,SEL_COHORT_LEX,cn4:cs25,smallest,1,50,100,11
PROBLEM_smallest__SEL_REDUCED_TRAINING__CN_10__CS_10,SEL_REDUCED_TRAINING,cn10:cs10,smallest,1,1,100,11
PROBLEM_smallest__SEL_REDUCED_TRAINING__CN_1__CS_100,SEL_REDUCED_TRAINING,cn1:cs100,smallest,1,57,100,10
PROBLEM_smallest__SEL_REDUCED_TRAINING__CN_20__CS_5,SEL_REDUCED_TRAINING,cn20:cs5,smallest,1,1,100,7
PROBLEM_smallest__SEL_REDUCED_TRAINING__CN_2__CS_50,SEL_REDUCED_TRAINING,cn2:cs50,smallest,1,40,100,10
PROBLEM_smallest__SEL_REDUCED_TRAINING__CN_4__CS_25,SEL_REDUCED_TRAINING,cn4:cs25,smallest,1,15,100,10
PROBLEM_smallest__SEL_SAMPLED_TRAINING__CN_10__CS_10,SEL_SAMPLED_TRAINING,cn10:cs10,smallest,1,35,100,10
PROBLEM_smallest__SEL_SAMPLED_TRAINING__CN_1__CS_100,SEL_SAMPLED_TRAINING,cn1:cs100,smallest,1,59,100,10
PROBLEM_smallest__SEL_SAMPLED_TRAINING__CN_20__CS_5,SEL_SAMPLED_TRAINING,cn20:cs5,smallest,1,4,100,10
PROBLEM_smallest__SEL_SAMPLED_TRAINING__CN_2__CS_50,SEL_SAMPLED_TRAINING,cn2:cs50,smallest,1,50,100,10
PROBLEM_smallest__SEL_SAMPLED_TRAINING__CN_4__CS_25,SEL_SAMPLED_TRAINING,cn4:cs25,smallest,1,41,100,10
