treatment,test_mode,cohort_config,problem,uses_cohorts,solutions_found,total_runs,min_solution_size
PROBLEM_smallest__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,smallest,1,0,50,NONE
PROBLEM_smallest__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,smallest,1,5,50,11
PROBLEM_smallest__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,smallest,1,3,50,27
PROBLEM_smallest__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,smallest,1,5,50,12
PROBLEM_smallest__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,smallest,1,2,50,14
PROBLEM_smallest__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,smallest,1,3,50,12
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,compare-string-lengths,1,2,50,13
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,compare-string-lengths,1,10,50,12
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,compare-string-lengths,1,1,50,8
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,compare-string-lengths,1,5,50,13
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,compare-string-lengths,1,0,50,NONE
PROBLEM_compare-string-lengths__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,compare-string-lengths,1,3,50,12
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,compare-string-lengths,1,3,50,21
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,compare-string-lengths,1,6,50,13
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,compare-string-lengths,1,4,50,31
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,compare-string-lengths,1,11,50,12
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,compare-string-lengths,1,6,50,12
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,compare-string-lengths,1,6,50,15
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,compare-string-lengths,1,5,50,19
PROBLEM_compare-string-lengths__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,compare-string-lengths,1,10,50,16
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_128__CS_4,SEL_COHORT_LEX,cn128:cs4,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_16__CS_32,SEL_COHORT_LEX,cn16:cs32,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_1__CS_512,SEL_COHORT_LEX,cn1:cs512,for-loop-index,1,4,50,10
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_256__CS_2,SEL_COHORT_LEX,cn256:cs2,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_2__CS_256,SEL_COHORT_LEX,cn2:cs256,for-loop-index,1,1,50,16
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_32__CS_16,SEL_COHORT_LEX,cn32:cs16,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_4__CS_128,SEL_COHORT_LEX,cn4:cs128,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_64__CS_8,SEL_COHORT_LEX,cn64:cs8,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_COHORT_LEX__CN_8__CS_64,SEL_COHORT_LEX,cn8:cs64,for-loop-index,1,2,50,10
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_128__CS_4,SEL_DOWN_SAMPLE_TESTS,cn128:cs4,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_16__CS_32,SEL_DOWN_SAMPLE_TESTS,cn16:cs32,for-loop-index,1,1,50,32
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_256__CS_2,SEL_DOWN_SAMPLE_TESTS,cn256:cs2,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_2__CS_256,SEL_DOWN_SAMPLE_TESTS,cn2:cs256,for-loop-index,1,3,50,6
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_32__CS_16,SEL_DOWN_SAMPLE_TESTS,cn32:cs16,for-loop-index,1,1,50,7
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_4__CS_128,SEL_DOWN_SAMPLE_TESTS,cn4:cs128,for-loop-index,1,5,50,13
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_64__CS_8,SEL_DOWN_SAMPLE_TESTS,cn64:cs8,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_DOWN_SAMPLE_TESTS__CN_8__CS_64,SEL_DOWN_SAMPLE_TESTS,cn8:cs64,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_128__CS_4,SEL_PROG_ONLY_COHORT_LEX,cn128:cs4,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_16__CS_32,SEL_PROG_ONLY_COHORT_LEX,cn16:cs32,for-loop-index,1,2,50,16
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_256__CS_2,SEL_PROG_ONLY_COHORT_LEX,cn256:cs2,for-loop-index,1,1,50,16
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_2__CS_256,SEL_PROG_ONLY_COHORT_LEX,cn2:cs256,for-loop-index,1,3,50,13
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_32__CS_16,SEL_PROG_ONLY_COHORT_LEX,cn32:cs16,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_4__CS_128,SEL_PROG_ONLY_COHORT_LEX,cn4:cs128,for-loop-index,1,2,50,6
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_64__CS_8,SEL_PROG_ONLY_COHORT_LEX,cn64:cs8,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_PROG_ONLY_COHORT_LEX__CN_8__CS_64,SEL_PROG_ONLY_COHORT_LEX,cn8:cs64,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_128__CS_4,SEL_TRUNCATED,cn128:cs4,for-loop-index,1,4,50,14
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_16__CS_32,SEL_TRUNCATED,cn16:cs32,for-loop-index,1,2,50,17
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_256__CS_2,SEL_TRUNCATED,cn256:cs2,for-loop-index,1,0,50,NONE
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_2__CS_256,SEL_TRUNCATED,cn2:cs256,for-loop-index,1,2,50,6
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_32__CS_16,SEL_TRUNCATED,cn32:cs16,for-loop-index,1,4,50,11
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_4__CS_128,SEL_TRUNCATED,cn4:cs128,for-loop-index,1,2,50,17
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_64__CS_8,SEL_TRUNCATED,cn64:cs8,for-loop-index,1,5,50,13
PROBLEM_for-loop-index__SEL_TRUNCATED__CN_8__CS_64,SEL_TRUNCATED,cn8:cs64,for-loop-index,1,1,50,28
